feature_1,feature_2,mean_abs_interaction
Fear of pregnancy_Yes,Diseases during pregnancy_No Disease,0.0016960642491203142
Relax/sleep when the newborn is asleep_Yes,Trust and share feelings_Yes,0.0016892119323552988
Economic_Stability_Index_Weighted,Education Level_University,0.0016601776538272277
Feeling for regular activities_Not Reported,Education Level_University,0.0016151877026084084
Trust and share feelings_Yes,Fear of pregnancy_Yes,0.0016097771052096892
Major changes or losses during pregnancy_Yes,Relationship with the in-laws_Good,0.0016077296762335228
Relationship with the in-laws_Good,Family type_Nuclear,0.001594123680983326
Relationship with the in-laws_Good,Worry about newborn_Yes,0.0015888404952995607
Relationship with the in-laws_Good,Trust and share feelings_Yes,0.0015793757299076634
Major changes or losses during pregnancy_Yes,Education Level_University,0.001559526447556886
Trust and share feelings_Yes,Depression before pregnancy (PHQ2)_Positive,0.0015280266073919887
Relax/sleep when the newborn is asleep_Yes,Diseases during pregnancy_No Disease,0.001520117012344948
Depression before pregnancy (PHQ2)_Positive,Family type_Nuclear,0.0015074272225470537
Relax/sleep when the newborn is asleep_Yes,Fear of pregnancy_Yes,0.0014835554460158379
Need for Support_Not Reported,Family type_Nuclear,0.0014741383066979588
Major changes or losses during pregnancy_Yes,Depression before pregnancy (PHQ2)_Positive,0.0014630531940844997
Relationship with husband_Good,Trust and share feelings_Yes,0.0014595133314767416
Major changes or losses during pregnancy_Yes,Diseases during pregnancy_No Disease,0.0014528373830456208
Fear of pregnancy_Yes,Received Support_Medium,0.0014108859862857078
Economic_Stability_Index_Weighted,Depression before pregnancy (PHQ2)_Positive,0.0014021409339877804
Relationship with husband_Good,Worry about newborn_Yes,0.0013794627353635389
Relationship with husband_Good,Diseases during pregnancy_No Disease,0.0013540935987707366
Relationship with husband_Good,Family type_Nuclear,0.0013082929455291662
Relax/sleep when the newborn is asleep_Yes,Relationship with the in-laws_Good,0.0012896330808089415
Neonatal_Delivery_Stress_Index_Weighted,Depression before pregnancy (PHQ2)_Positive,0.0012686212911896567
Relax/sleep when the newborn is asleep_Yes,Relationship with husband_Good,0.0012367699723141777
Relationship with the in-laws_Good,Relationship with husband_Good,0.0012274108725359408
Relationship with husband_Good,Received Support_Medium,0.0012212102543773334
Relax/sleep when the newborn is asleep_Yes,Worry about newborn_Yes,0.0012189269264227301
Need for Support_Not Reported,Worry about newborn_Yes,0.001180353501490374
Relationship with husband_Good,Fear of pregnancy_Yes,0.0011641033821926136
Relationship with the in-laws_Good,Fear of pregnancy_Yes,0.0011481336043666077
Need for Support_Not Reported,Relationship with husband_Good,0.0011340777401711304
Relax/sleep when the newborn is asleep_Yes,Education Level_University,0.0011184625816387755
Worry about newborn_Yes,Diseases during pregnancy_No Disease,0.0010879448524048361
Trust and share feelings_Yes,Education Level_University,0.001057733573775861
Education Level_University,Diseases during pregnancy_No Disease,0.0010542573434158809
Relationship with the in-laws_Good,Education Level_University,0.0010293397834490153
Trust and share feelings_Yes,Diseases during pregnancy_No Disease,0.0010037996695945114
Abuse_Yes,Education Level_University,0.0009934529565160013
Fear of pregnancy_Yes,Education Level_University,0.0009716769028363032
Abuse_Yes,Depression before pregnancy (PHQ2)_Positive,0.0008748759637554127
Need for Support_Not Reported,Depression before pregnancy (PHQ2)_Positive,0.000859144075143238
Worry about newborn_Yes,Education Level_University,0.0008267950439733652
Family type_Nuclear,Education Level_University,0.0007743567264021074
Relationship with husband_Good,Depression before pregnancy (PHQ2)_Positive,0.0007287944265200702
Education Level_University,Received Support_Medium,0.0006960010963008964
Need for Support_Not Reported,Education Level_University,0.0006938202135101792
Depression before pregnancy (PHQ2)_Positive,Received Support_Medium,0.0006361410605870018
Depression before pregnancy (PHQ2)_Positive,Diseases during pregnancy_No Disease,0.0006031977981475116
Relationship with the in-laws_Good,Depression before pregnancy (PHQ2)_Positive,0.0005941098966223319
Relationship with husband_Good,Education Level_University,0.0005705917031783629
Relax/sleep when the newborn is asleep_Yes,Depression before pregnancy (PHQ2)_Positive,0.0005637419368937466
Depression before pregnancy (PHQ2)_Positive,Education Level_University,0.00046926399402453373
Depression before pregnancy (PHQ2)_Positive,Fear of pregnancy_Yes,0.0004610607237773291
Worry about newborn_Yes,Depression before pregnancy (PHQ2)_Positive,0.00044350758780685424
